Sample_well,component_measured,condition,initial_pH,final_pH,initial_weight_g,final_weight_g,delta_weight_g
f1,fallax_alone,fallax_alone,3.5,3.7,0.0127,0.023,0.0103
f2,fallax_alone,fallax_alone,3.5,3.7,0.0091,0.0201,0.011
f3,fallax_alone,fallax_alone,3.5,3.7,0.0063,0.0383,0.032
f4,fallax_alone,fallax_alone,3.5,3.8,0.022,0.0993,0.0773
f5,fallax_alone,fallax_alone,5.5,5.9,0.0072,0.0265,0.0193
f6,fallax_alone,fallax_alone,5.5,6.2,0.0225,0.0461,0.0236
f7,fallax_alone,fallax_alone,5.5,6.2,0.0097,0.0589,0.0492
f8,fallax_alone,fallax_alone,5.5,6.13,0.0151,0.0651,0.05
f9,fallax_alone,fallax_alone,8.5,6.7,0.0138,0.0593,0.0455
f10,fallax_alone,fallax_alone,8.5,7.2,0.0065,0.0347,0.0282
f11,fallax_alone,fallax_alone,8.5,7.4,0.0088,0.0267,0.0179
f12,fallax_alone,fallax_alone,8.5,7.44,0.0135,0.0411,0.0276
f13+c13,fallax_symbiosis,fallax_cyano,3.5,6,0.0072,0.016,0.0088
f14+c14,fallax_symbiosis,fallax_cyano,3.5,5.6,0.0036,0.0333,0.0297
f15+c15,fallax_symbiosis,fallax_cyano,3.5,5.6,0.0172,0.0559,0.0387
f16+c16,fallax_symbiosis,fallax_cyano,3.5,5.6,0.0014,0.0143,0.0129
f17+c17,fallax_symbiosis,fallax_cyano,5.5,5.8,0.008,0.0338,0.0258
f18+c18,fallax_symbiosis,fallax_cyano,5.5,5.9,0.0082,0.034,0.0258
f19+c19,fallax_symbiosis,fallax_cyano,5.5,6.2,0.0132,0.033,0.0198
f20+c20,fallax_symbiosis,fallax_cyano,5.5,6.3,0.0154,0.0661,0.0507
f21+c21,fallax_symbiosis,fallax_cyano,8.5,6.5,0.0141,0.04,0.0259
f22+c22,fallax_symbiosis,fallax_cyano,8.5,6.7,0.0099,0.0362,0.0263
f23+c23,fallax_symbiosis,fallax_cyano,8.5,6.7,0.0242,0.0563,0.0321
f24+c24,fallax_symbiosis,fallax_cyano,8.5,6.7,0.0059,0.0287,0.0228
c1,cyano_alone,cyano_alone,3.5,6.3,0.0919,0.0572,-0.0347
c2,cyano_alone,cyano_alone,3.5,6,0.1096,0.074,-0.0356
c3,cyano_alone,cyano_alone,3.5,6,0.1063,0.1222,0.0159
c4,cyano_alone,cyano_alone,3.5,5.8,0.1055,0.0745,-0.031
c5,cyano_alone,cyano_alone,5.5,6.3,0.1042,0.1254,0.0212
c6,cyano_alone,cyano_alone,5.5,6.53,0.1047,0.11,0.0053
c7,cyano_alone,cyano_alone,5.5,6.7,0.0932,0.1535,0.0603
c8,cyano_alone,cyano_alone,5.5,6.65,0.105,0.1002,-0.0048
c9,cyano_alone,cyano_alone,8.5,6.8,0.0984,0.1293,0.0309
c10,cyano_alone,cyano_alone,8.5,7,0.1062,0.187,0.0808
c11,cyano_alone,cyano_alone,8.5,7.05,0.1073,0.17,0.0627
c12,cyano_alone,cyano_alone,8.5,7,0.0922,0.1708,0.0786
f13+c13,cyano_symbiosis,fallax_cyano,3.5,6,0.1083,0.093,-0.0153
f14+c14,cyano_symbiosis,fallax_cyano,3.5,5.6,0.1074,0.0875,-0.0199
f15+c15,cyano_symbiosis,fallax_cyano,3.5,5.6,0.0925,0.0983,0.0058
f16+c16,cyano_symbiosis,fallax_cyano,3.5,5.6,0.0931,0.0897,-0.0034
f17+c17,cyano_symbiosis,fallax_cyano,5.5,5.8,0.1062,0.0931,-0.0131
f18+c18,cyano_symbiosis,fallax_cyano,5.5,5.9,0.1074,0.1163,0.0089
f19+c19,cyano_symbiosis,fallax_cyano,5.5,6.2,0.0937,0.1692,0.0755
f20+c20,cyano_symbiosis,fallax_cyano,5.5,6.3,0.0957,0.1408,0.0451
f21+c21,cyano_symbiosis,fallax_cyano,8.5,6.5,0.0987,0.172,0.0733
f22+c22,cyano_symbiosis,fallax_cyano,8.5,6.7,0.0924,0.177,0.0846
f23+c23,cyano_symbiosis,fallax_cyano,8.5,6.7,0.0962,0.1643,0.0681
f24+c24,cyano_symbiosis,fallax_cyano,8.5,6.7,0.0972,0.1826,0.0854
f13+c13,symbiosis_well,fallax_cyano,3.5,6,0.1155,0.109,-0.0065
f14+c14,symbiosis_well,fallax_cyano,3.5,5.6,0.111,0.1208,0.0098
f15+c15,symbiosis_well,fallax_cyano,3.5,5.6,0.1097,0.1542,0.0445
f16+c16,symbiosis_well,fallax_cyano,3.5,5.6,0.0945,0.104,0.0095
f17+c17,symbiosis_well,fallax_cyano,5.5,5.8,0.1142,0.1269,0.0127
f18+c18,symbiosis_well,fallax_cyano,5.5,5.9,0.1156,0.1503,0.0347
f19+c19,symbiosis_well,fallax_cyano,5.5,6.2,0.1069,0.2022,0.0953
f20+c20,symbiosis_well,fallax_cyano,5.5,6.3,0.1111,0.2069,0.0958
f21+c21,symbiosis_well,fallax_cyano,8.5,6.5,0.1128,0.212,0.0992
f22+c22,symbiosis_well,fallax_cyano,8.5,6.7,0.1023,0.2132,0.1109
f23+c23,symbiosis_well,fallax_cyano,8.5,6.7,0.1204,0.2206,0.1002
f24+c24,symbiosis_well,fallax_cyano,8.5,6.7,0.1031,0.2113,0.1082
